*          DATA SET ACYR2000   AT LEVEL 073 AS OF 12/30/99                      
         TITLE 'PAN BOOK CONVERTED TO YEAR 2000 COMPLIANCE'                     
***********************************************************************         
*  KEY of status                                                      *         
*         FX  - FIXED                                                 *         
*         OK  - LOOKED AT AND NO CHANGES NEEDED                       *         
*         NG  - NEEDS TO BE FIXED                                     *         
*         IT  - IN TESTING                                            *         
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------  ---------------------------------         
ACREPAH02   RDESN   OK      AUG08/97                                            
ACREPAJ02   LSTAN   FX      DEC31/97                                            
ACREPAP02   AHYDN   OK      AUG19/97                                            
ACREPAR02   AHYDN   FX      SEP24/97                                            
ACREPAS02   JSHAN   FX      FEB03/98                                            
ACREPAU02   LSTAN   OK      AUG18/97                                            
ACREPA102   PCASN                                                               
ACREPA202   DCURN   FX      AUG28/97                                            
ACREPBG02   GHOAN                                                               
ACREPBT02   AWILN   FX      AUG08/97                                            
ACREPBU02   AWILN   OK      AUG08/97                                            
ACREPBX02   AWILN   FX      JUL29/97                                            
ACREPB102   MNASN   FX      OCT08/97                                            
ACREPB202   MNASN   FX      Nov21/97                                            
ACREPB302   MNASN   FX      Nov21/97                                            
ACREPB402   LSTAN   FX      Jun08/98                                            
ACREPB502   MNASN   OK      Aug07/97 MAKE SURE INPUT FILE BUDGET DATES          
                                     ARE COMING IN CORRECTLY                    
ACREPCA02   PCASN   FX      AUG22/97                                            
ACREPCB02C  AHYDN   OK      Dec17/97                                            
ACREPCC02   LSTAN   FX      AUG20/97                                            
ACREPCD02   LSTAN   OK      AUG20/97                                            
ACREPCF02   LSTAN   OK      Feb06/98                                            
ACREPCH02   DCURN   OK      AUG15/97                                            
ACREPCK02   DCURN   OK      AUG18/97                                            
ACREPCL02   MNASN   OK      NOV11/97                                            
ACREPCM02   DCURN   FX      AUG19/97                                            
ACREPCN02   GHOAN   OK      AUG04/97                                            
ACREPCO02   DCURN   OK      AUG20/97                                            
ACREPCP02   AHYDN   OK      SEP29/97    T                                       
ACREPCQ02   AWILN   OK      AUG04/97                                            
ACREPCS02   RDESN   OK      AUG08/97                                            
ACREPCT02   DCURN   OK      AUG15/97                                            
ACREPCU02   DCURN   OK      AUG15/97                                            
ACREPCX02   AHYDN   FX      SEP30/97                                            
ACREPCZ02   LSTAN   OK      JUL23/97                                            
ACREPC102   GHOAN   FX      JAN09/98                                            
ACREPC202   DCURN   OK      AUG19/97                                            
ACREPC302   DCURN   OK      AUG18/97                                            
ACREPC402   DCURN   OK      AUG18/97                                            
ACREPC502   DCURN   OK      AUG18/97                                            
ACREPC602   LSTAN   FX      Feb06/98                                            
ACREPC802   RDESN   FX      JUL29/97                                            
ACREPDA02   JDILN   OK      SEP15/97                                            
ACREPDF02   LSTAN   OK      AUG20/97                                            
ACREPDJCO   GHOAN   OK      NOV25/97                                            
ACREPDJDE   GHOAN   OK      NOV25/97                                            
ACREPDJ02   GHOAN   OK      JAN08/98                                            
ACREPD802   RDESN   FX      JUL29/97                                            
ACREPE102   LSTAN   FX      JAN06/98                                            
ACREPFA02   JSHAN   OK      JAN30/98                                            
ACREPFE02   JSHAN   FX      JAN30/98                                            
ACREPFR02   JSHAN   FX      JAN21/98                                            
ACREPFU02   GHOAN   OK      NOV25/97                                            
ACREPFW02   GHOAN   OK      AUG04/97                                            
ACREPGF02   JSHAN   OK      AUG11/97                                            
ACREPGT02   RDESN   OK      JUL29/97                                            
ACREPG102   LSTAN   FX      JAN07/98                                            
ACREPG202   LSTAN   FX      JAN07/98                                            
