                                                                                
         TITLE 'FSPEC'                                                          
File handling spec macro:                                                       
                                                                                
(Name)   FSPEC command,record/file                                              
                                                                                
Command        Record/File         System         Command No.                   
                                                                                
READ           CLIENTS            PRINTPAK           01                         
READ           PRODUCTS           PRINTPAK           02                         
READ           ESTIMATES          PRINTPAK           03                         
READ           BILLS              PRINTPAK           04                         
READ           DISTRICTS          PRINTPAK           05                         
READ           PUBLICATIONS       PRINTPAK           06                         
READ           CONTRACTS          PRINTPAK           07                         
READ           BUYS               PRINTPAK           08                         
READ           LISTS              PRINTPAK           09                         
READ           BILLAFTER          PRINTPAK           10                         
READ           ERRORS             PRINTPAK           11                         
                                                                                
READ           ACCOUNTS           ACCPAK             02                         
READ           HISTORY            ACCPAK             03                         
READ           HOLD               ACCPAK             04                         
                                                                                
READ           ADVERTISERS        REPPAK             01                         
READ           PRODUCTS           REPPAK             02                         
READ           AGENCIES           REPPAK             03                         
READ           SALESMEN           REPPAK             04                         
READ           STATIONS           REPPAK             05                         
READ           CONTRACTS          REPPAK             07                         
READ           BUYS               REPPAK             08                         
                                                                                
READ           BUYS               SPOTPAK            08                         
READ           GOALS              SPOTPAK            09                         
READ           PACKAGES           SPOTPAK            10                         
                                                                                
GET            CONREP             PRINTPAK           14                         
GET            TRAFREP            PRINTPAK           15                         
GET            DIVISIONS          PRINTPAK           16                         
GET            REGIONS            PRINTPAK           17                         
GET            DISTRICTS          PRINTPAK           18                         
GET            PUBLICATIONS       PRINTPAK           19                         
GET            CONTRACTS          PRINTPAK           20                         
GET            REP                PRINTPAK           21                         
                                                                                
GET            AGENCY             REPPAK             14                         
GET            ADVERTISER         REPPAK             15                         
GET            PRODUCT            REPPAK             16                         
GET            SALESMAN           REPPAK             17                         
GET            TEAM               REPPAK             18                         
GET            STATION            REPPAK             19                         
GET            MARKET             SPOTPAK            18                         
GET            STATION            SPOTPAK            19                         
                                                                                
ADD            BILLS              PRINTPAK           27                         
                                                                                
UPDATE         PRTDIR             PRINTPAK           29                         
UPDATE         PRTFILE            PRINTPAK           30                         
UPDATE         PUBDIR             PRINTPAK           31                         
UPDATE         PUBFILE            PRINTPAK           32                         
                                                                                
UPDATE         ACCDIR             ACCPAK             11                         
UPDATE         ACCFILE            ACCPAK             12                         
UPDATE         ACCMAST            ACCPAK             13                         
                                                                                
UPDATE         REPDIR             REPPAK             29                         
UPDATE         REPFILE            REPPAK             30                         
UPDATE         SPTFILE            SPOTPAK            29                         
UPDATE         SPTDIR             SPOTPAK            30                         
UPDATE         STATION            SPOTPAK            31                         
                                                                                
OPEN           DEMFILES           SPOTPAK            32                         
                                                                                
USE            PHASE-NAME         SPOTPAK                                       
