          TITLE 'Allocation of SPONSOR program codes'                           
         CODE   NAME                               PROGRAMMER                   
         ----   ----                               ----------                   
                                                                                
          A2    Product Summary                    Mel                          
          A5    Station Summary                    Mel                          
          A6    Billing                            Grant                        
          A7    JWT Monthly Office Recap           Grif                         
          A8    Trial Balance                      Bruce                        
                                                                                
          BU    Network Unit Billing               Grant                        
          B1    Billing                            Grant                        
          B9    Retail Analysis                    Grant                        
                                                                                
          CB    Comparative buying                 Mel/Tim                      
                                                                                
          DC    Spot Media Calendar                Zen                          
          DD    Demographic Comparison Report      Tim                          
          DN    Canadian Network Report            Bruce                        
          DR    Direct Response                    Zen                          
          D2    Brand Schedule                     Zen                          
          D3    Brand Time Sheet                   Zen                          
          D4    Salesperson Sheet                  Zen                          
          D5    Pool Time Sheets                   Zen                          
          D6    Brand Daily Time sheet             Zen                          
          D8    Sweep Report                       Zen                          
                                                                                
          EB    JWT Estimated Book Report          Evan                         
                                                                                
          FX    DDS File Reader                                                 
          F2    Film Performance                   Zen                          
          F4    Market Performance by Film         Zen                          
                                                                                
          GL    Tape to DDS Goal Create            Zen                          
          GW    Worker To Sptfile Goal Transfer    Zen                          
                                                                                
          IM    Mssd/Mkgd Invoice Matching Report  Zen                          
          I2    Invoice Matching Report            Grant                        
          I3    Invoice Check List                 Grant                        
          I4    Coke Buys from Invoice (Report)    Grant                        
                                                                                
          K2    Un-allocation                      Mel                          
          K6    Brand allocation (old)             Grant                        
          K4    Brand allocation (new)             Grant                        
          K9    Kraft Film Allocation              Grant                        
                                                                                
          LD    Demo Menu Listing                                               
          L2    Estimate Header Print                                           
          L6    Comment Listing                                                 
                                                                                
          MB    Media Budget Status Report         Ken                          
          MF    Film Usage                         Ken                          
          MK    Kraft Product Schedule             Ken                          
          ML    Lock-In                            Zen                          
          MP    Pepsi Lockin                       Zen                          
          M1    CPP Interface Extract              Zen                          
          M2    Brand Performance                  Zen                          
          M3    Brand Weekly Summary               Zen                          
          M4    Market Performance                 Zen                          
          M5    DDS Interface Tape                 Zen                          
          M6    Brand Post Buy                     Zen                          
          M7    Market Post Buy                    Zen                          
          M8    Market Media Plan                  Ken                          
          M9    Brand Media Plan                   Ken                          
                                                                                
          NF    Flexi                              Ken                          
          NL    Layouts                            Ken                          
          NR    Overnight Research                 Ken                          
          NV    Spot Invoice Control               Tim                          
          N1    Pure Program Listing               Ken                          
          N5    Canadian Network Pol Buysheets     Zen                          
                                                                                
          RN    Canadian Network Rotation Schedule Zen                          
          RS    Spot Rotation Schedule             Zen                          
                                                                                
          S1    Coverage Report (Syndication)      Mel                          
          S4    Delevery Report                    Mel                          
                                                                                
          TA    Traffic auto instructions          Grif                         
          TC    Traffic recaps                     Grif                         
          TL    Traffic lists                      Grif                         
          TG    Traffic Dealer instructions        Grif                         
          TM    Traffic Manual instructions        Grif                         
          TN    Traffic Network instructions       Grif                         
          TO    Traffic shipping order generation  Grif                         
          T9    Traffic Plan                       Zen                          
                                                                                
          U1    IMR from Pay                       Grant                        
          U2    Invoice Matching                   Grant                        
          U3    Brand Time Sheets                  Zen                          
          U4    Market Performance                 Zen                          
          U5    Pool Time Sheets                   Zen                          
          U6    Comment T/A                                                     
          U7    ICL Turnaround                     Zen                          
          U8    Market Media Plan                  Ken                          
          U9    Brand Media Plan                   Ken                          
                                                                                
          XA    Pepsi Spot Analysis                Grant                        
          XB    Pepsi US Index                     Grant                        
          XC    Pepsi Detail Listing               Grant                        
          XG    P&G Extract                        Mel                          
          XK    Coke File Transfer                 Mel                          
          XR    Kroger Cmml Freq Report            Mel                          
          XT    Extract (Kodak-BJ/AA Interface)    Grant                        
          XW    Pepsi Work Transfer                Zen                          
          x1    METO Coke Budgets                  Bruce                        
          X2    Special Coke Extract               Grant                        
          X3    Child Spot Performance             Grif                         
          X7    P&G Base Brand                     Grant                        
                                                                                
          40    Active Market List                 Grif                         
          41    Client Header Print                                             
          44    Canadian Network Show/Spill Listing                             
          47    Product/Market Group Listing       Grif                         
          48    Station Listing                    Grif                         
          46    Traffic Station Address List                                    
                                                                                
          54    P&G Current Announcement                                        
          57    P&G base brand report              Grant                        
                                                                                
          85    Svi Listing                        Peter                        
                                                                                
          92    Estimate Closeout Report           Zen                          
          98    P&G Exception Report               Bruce                        
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
