         TITLE 'PRINTPAK AGENCY ROSTER AS OF AUG. 18, 1977'                     
                                                                                
                                                                                
A G E N C Y  N A M E           3  L E T T E R  I D       2  L E T T E R  I D    
--------------------           -------------------       -------------------    
                                                                                
                                                                                
BBD&O                                BBD                        BD              
                                                                                
CASE & MCGRATH                       CNM                        CM              
                                                                                
COMPTON ADVERTISING                  COM                        CO              
                                                                                
DANCER FITZGERALD SAMPLE,INC.        DFS                        DF              
                                                                                
DANCER SAN FRANCISCO                 SFD                        SF              
                                                                                
GREY ADVERTISING                     GRY                        GY              
                                                                                
GREY NORTH                           NGY                        GN              
                                                                                
J. WALTER THOMPSON                   JWT                        JW              
                                                                                
MCCANN-ERICKSON,INC.                 MCE                        MC              
                                                                                
SAWDON & BESS,INC.                   SAW                        SW              
                                                                                
SCALI,MCCABE,SLOVES,INC.             SCA                        SC              
                                                                                
SCALI,MCCABE,SLOVES,CANADA           CSC                        CS              
                                                                                
TED BATES & CO.                      TBC                        TB              
                                                                                
WARING & LAROSA                      WNL                        WL              
                                                                                
WARING & LAROSA CANADA               WLC                        WC              
                                                                                
WILLIAM ESTY COMPANY,INC.            WEC                        WE              
